Test: [20/194]	Time 0.029 (0.063)	Loss 0.1309 (0.1760)
Test: [40/194]	Time 0.028 (0.046)	Loss 0.1412 (0.1585)
Test: [60/194]	Time 0.028 (0.040)	Loss 0.0600 (0.1461)
Test: [80/194]	Time 0.028 (0.038)	Loss 0.0933 (0.1322)
Test: [100/194]	Time 0.029 (0.036)	Loss 0.1214 (0.1274)
Test: [120/194]	Time 0.029 (0.035)	Loss 0.1606 (0.1316)
Test: [140/194]	Time 0.030 (0.034)	Loss 0.1488 (0.1399)
Test: [160/194]	Time 0.029 (0.034)	Loss 0.0524 (0.1256)
Test: [180/194]	Time 0.028 (0.035)	Loss 0.1769 (0.1295)
Testing Results: Best Threshold 0.20, mAP: 0.5995, Loss: 0.12917
Best mAP: 0.599, Best Threshold: 0.20

Epoch: [1][0/632], 	Time 5.651 (5.651)	Data 5.607 (5.607)	Loss 0.2034 (0.2034)	Precision 0.569 (0.569)	Recall 0.694 (0.694)	mAP 0.771 (0.771)
Epoch: [1][20/632], 	Time 0.077 (0.434)	Data 0.000 (0.361)	Loss 0.1832 (0.1267)	Precision 0.370 (0.674)	Recall 0.556 (0.757)	mAP 0.785 (0.923)
Epoch: [1][40/632], 	Time 0.077 (0.345)	Data 0.000 (0.272)	Loss 0.0875 (0.1323)	Precision 0.690 (0.609)	Recall 0.857 (0.706)	mAP 1.000 (0.901)
Epoch: [1][60/632], 	Time 0.077 (0.281)	Data 0.000 (0.208)	Loss 0.1484 (0.1309)	Precision 0.472 (0.621)	Recall 0.667 (0.710)	mAP 0.851 (0.906)
Epoch: [1][80/632], 	Time 0.077 (0.253)	Data 0.000 (0.180)	Loss 0.1000 (0.1305)	Precision 0.833 (0.628)	Recall 0.833 (0.721)	mAP 0.950 (0.903)
Epoch: [1][100/632], 	Time 0.078 (0.276)	Data 0.000 (0.204)	Loss 0.1534 (0.1308)	Precision 0.583 (0.621)	Recall 0.583 (0.713)	mAP 0.889 (0.892)
Epoch: [1][120/632], 	Time 0.085 (0.286)	Data 0.000 (0.214)	Loss 0.1509 (0.1291)	Precision 0.600 (0.629)	Recall 0.714 (0.723)	mAP 0.881 (0.898)
Epoch: [1][140/632], 	Time 0.077 (0.276)	Data 0.000 (0.203)	Loss 0.0437 (0.1257)	Precision 0.833 (0.643)	Recall 0.833 (0.732)	mAP 1.000 (0.904)
Epoch: [1][160/632], 	Time 0.081 (0.271)	Data 0.000 (0.199)	Loss 0.1106 (0.1280)	Precision 0.611 (0.641)	Recall 0.625 (0.732)	mAP 1.000 (0.904)
Epoch: [1][180/632], 	Time 0.079 (0.274)	Data 0.000 (0.201)	Loss 0.1678 (0.1270)	Precision 0.381 (0.640)	Recall 0.536 (0.732)	mAP 0.743 (0.903)
Epoch: [1][200/632], 	Time 0.079 (0.266)	Data 0.000 (0.194)	Loss 0.1418 (0.1253)	Precision 0.733 (0.644)	Recall 0.800 (0.737)	mAP 0.817 (0.903)
Epoch: [1][220/632], 	Time 0.077 (0.271)	Data 0.000 (0.198)	Loss 0.1927 (0.1246)	Precision 0.458 (0.648)	Recall 0.458 (0.741)	mAP 0.624 (0.902)
Epoch: [1][240/632], 	Time 0.077 (0.263)	Data 0.000 (0.190)	Loss 0.1911 (0.1234)	Precision 0.250 (0.648)	Recall 0.250 (0.743)	mAP 1.000 (0.903)
Epoch: [1][260/632], 	Time 0.081 (0.277)	Data 0.000 (0.204)	Loss 0.1375 (0.1227)	Precision 0.655 (0.647)	Recall 0.857 (0.744)	mAP 0.862 (0.903)
Epoch: [1][280/632], 	Time 0.077 (0.282)	Data 0.000 (0.208)	Loss 0.1183 (0.1234)	Precision 0.667 (0.646)	Recall 0.778 (0.740)	mAP 1.000 (0.904)
Epoch: [1][300/632], 	Time 0.077 (0.270)	Data 0.000 (0.197)	Loss 0.0693 (0.1227)	Precision 0.750 (0.647)	Recall 0.800 (0.744)	mAP 1.000 (0.905)
Epoch: [1][320/632], 	Time 0.078 (0.266)	Data 0.000 (0.193)	Loss 0.0866 (0.1223)	Precision 0.833 (0.648)	Recall 0.833 (0.747)	mAP 0.889 (0.903)
Epoch: [1][340/632], 	Time 0.075 (0.269)	Data 0.000 (0.196)	Loss 0.1199 (0.1226)	Precision 0.800 (0.651)	Recall 0.733 (0.748)	mAP 0.983 (0.904)
Epoch: [1][360/632], 	Time 0.077 (0.264)	Data 0.000 (0.191)	Loss 0.1498 (0.1226)	Precision 0.819 (0.652)	Recall 0.750 (0.749)	mAP 0.890 (0.903)
Epoch: [1][380/632], 	Time 0.076 (0.266)	Data 0.000 (0.193)	Loss 0.0874 (0.1223)	Precision 0.800 (0.655)	Recall 0.900 (0.751)	mAP 0.883 (0.904)
Epoch: [1][400/632], 	Time 0.077 (0.263)	Data 0.000 (0.190)	Loss 0.1221 (0.1217)	Precision 0.643 (0.658)	Recall 0.714 (0.755)	mAP 0.929 (0.906)
Epoch: [1][420/632], 	Time 0.077 (0.274)	Data 0.000 (0.200)	Loss 0.1152 (0.1216)	Precision 0.548 (0.659)	Recall 0.714 (0.756)	mAP 0.929 (0.906)
Epoch: [1][440/632], 	Time 0.078 (0.270)	Data 0.000 (0.197)	Loss 0.1136 (0.1216)	Precision 0.786 (0.661)	Recall 0.810 (0.757)	mAP 0.886 (0.906)
Epoch: [1][460/632], 	Time 0.079 (0.271)	Data 0.000 (0.198)	Loss 0.0969 (0.1211)	Precision 0.714 (0.664)	Recall 0.857 (0.759)	mAP 1.000 (0.907)
Epoch: [1][480/632], 	Time 0.085 (0.270)	Data 0.000 (0.196)	Loss 0.1555 (0.1211)	Precision 0.714 (0.666)	Recall 0.643 (0.760)	mAP 0.880 (0.907)
Epoch: [1][500/632], 	Time 0.079 (0.268)	Data 0.000 (0.195)	Loss 0.0705 (0.1204)	Precision 0.700 (0.669)	Recall 0.800 (0.763)	mAP 0.900 (0.908)
Epoch: [1][520/632], 	Time 0.075 (0.265)	Data 0.000 (0.191)	Loss 0.1557 (0.1202)	Precision 0.614 (0.670)	Recall 0.700 (0.764)	mAP 0.740 (0.908)
Epoch: [1][540/632], 	Time 0.076 (0.265)	Data 0.000 (0.191)	Loss 0.0920 (0.1196)	Precision 0.619 (0.672)	Recall 0.667 (0.766)	mAP 0.983 (0.909)
Epoch: [1][560/632], 	Time 0.078 (0.272)	Data 0.000 (0.199)	Loss 0.0769 (0.1189)	Precision 1.000 (0.674)	Recall 1.000 (0.768)	mAP 1.000 (0.910)
Epoch: [1][580/632], 	Time 0.075 (0.273)	Data 0.000 (0.199)	Loss 0.0942 (0.1183)	Precision 0.690 (0.674)	Recall 0.857 (0.769)	mAP 0.952 (0.910)
Epoch: [1][600/632], 	Time 0.077 (0.270)	Data 0.000 (0.197)	Loss 0.1160 (0.1173)	Precision 0.571 (0.676)	Recall 0.714 (0.772)	mAP 0.786 (0.910)
Epoch: [1][620/632], 	Time 0.078 (0.268)	Data 0.000 (0.195)	Loss 0.1456 (0.1170)	Precision 0.510 (0.677)	Recall 0.571 (0.772)	mAP 0.866 (0.910)
Test: [0/194]	Time 0.872 (0.872)	Loss 0.1748 (0.1748)
Test: [20/194]	Time 0.029 (0.069)	Loss 0.1629 (0.1510)
Test: [40/194]	Time 0.029 (0.049)	Loss 0.1705 (0.1521)
Test: [60/194]	Time 0.028 (0.043)	Loss 0.0672 (0.1467)
Test: [80/194]	Time 0.030 (0.040)	Loss 0.0505 (0.1307)
Test: [100/194]	Time 0.030 (0.038)	Loss 0.1251 (0.1207)
Test: [120/194]	Time 0.029 (0.037)	Loss 0.1180 (0.1234)
Test: [140/194]	Time 0.030 (0.036)	Loss 0.1755 (0.1280)
Test: [160/194]	Time 0.029 (0.035)	Loss 0.0260 (0.1149)
Test: [180/194]	Time 0.027 (0.035)	Loss 0.2693 (0.1205)
Testing Results: Best Threshold 0.20, mAP: 0.6807, Loss: 0.12283
Best mAP: 0.681, Best Threshold: 0.20

Epoch: [2][0/632], 	Time 5.380 (5.380)	Data 5.336 (5.336)	Loss 0.1604 (0.1604)	Precision 0.806 (0.806)	Recall 0.778 (0.778)	mAP 0.875 (0.875)
Epoch: [2][20/632], 	Time 0.077 (0.402)	Data 0.000 (0.328)	Loss 0.0951 (0.1044)	Precision 0.810 (0.711)	Recall 0.810 (0.787)	mAP 1.000 (0.934)
Epoch: [2][40/632], 	Time 0.076 (0.349)	Data 0.000 (0.276)	Loss 0.0673 (0.1028)	Precision 0.900 (0.744)	Recall 1.000 (0.810)	mAP 0.967 (0.928)
Epoch: [2][60/632], 	Time 0.077 (0.350)	Data 0.000 (0.276)	Loss 0.0632 (0.1024)	Precision 0.889 (0.752)	Recall 1.000 (0.820)	mAP 1.000 (0.932)
