Epoch: [1][80/478], 	Time 0.092 (0.100)	Data 0.000 (0.008)	Loss 0.3239 (0.2214)	Precision 0.217 (0.213)	Recall 0.267 (0.291)	mAP 0.790 (0.792)
Epoch: [1][100/478], 	Time 0.093 (0.099)	Data 0.000 (0.006)	Loss 0.1572 (0.2204)	Precision 0.248 (0.213)	Recall 0.333 (0.294)	mAP 0.861 (0.792)
Epoch: [1][120/478], 	Time 0.092 (0.098)	Data 0.000 (0.005)	Loss 0.1880 (0.2204)	Precision 0.290 (0.215)	Recall 0.367 (0.296)	mAP 0.711 (0.790)
Epoch: [1][140/478], 	Time 0.092 (0.097)	Data 0.000 (0.004)	Loss 0.1874 (0.2200)	Precision 0.149 (0.214)	Recall 0.178 (0.291)	mAP 0.685 (0.790)
Epoch: [1][160/478], 	Time 0.095 (0.097)	Data 0.000 (0.004)	Loss 0.1991 (0.2193)	Precision 0.239 (0.214)	Recall 0.333 (0.290)	mAP 0.707 (0.793)
Epoch: [1][180/478], 	Time 0.093 (0.096)	Data 0.000 (0.003)	Loss 0.1776 (0.2173)	Precision 0.289 (0.217)	Recall 0.367 (0.295)	mAP 0.837 (0.798)
Epoch: [1][200/478], 	Time 0.093 (0.096)	Data 0.000 (0.003)	Loss 0.2586 (0.2183)	Precision 0.176 (0.218)	Recall 0.228 (0.297)	mAP 0.744 (0.797)
Epoch: [1][220/478], 	Time 0.093 (0.096)	Data 0.000 (0.003)	Loss 0.2032 (0.2178)	Precision 0.351 (0.220)	Recall 0.533 (0.298)	mAP 0.870 (0.799)
Epoch: [1][240/478], 	Time 0.093 (0.095)	Data 0.000 (0.003)	Loss 0.1928 (0.2162)	Precision 0.239 (0.220)	Recall 0.320 (0.299)	mAP 0.912 (0.798)
Epoch: [1][260/478], 	Time 0.092 (0.095)	Data 0.000 (0.002)	Loss 0.1640 (0.2146)	Precision 0.379 (0.221)	Recall 0.467 (0.300)	mAP 0.824 (0.797)
Epoch: [1][280/478], 	Time 0.093 (0.095)	Data 0.000 (0.002)	Loss 0.1829 (0.2148)	Precision 0.317 (0.223)	Recall 0.367 (0.300)	mAP 0.800 (0.793)
Epoch: [1][300/478], 	Time 0.092 (0.095)	Data 0.000 (0.002)	Loss 0.2192 (0.2139)	Precision 0.300 (0.223)	Recall 0.294 (0.299)	mAP 0.872 (0.792)
Epoch: [1][320/478], 	Time 0.088 (0.095)	Data 0.000 (0.002)	Loss 0.2086 (0.2136)	Precision 0.227 (0.223)	Recall 0.333 (0.299)	mAP 0.822 (0.791)
Epoch: [1][340/478], 	Time 0.093 (0.095)	Data 0.000 (0.002)	Loss 0.2352 (0.2124)	Precision 0.199 (0.225)	Recall 0.278 (0.300)	mAP 0.818 (0.793)
Epoch: [1][360/478], 	Time 0.094 (0.095)	Data 0.000 (0.002)	Loss 0.1825 (0.2119)	Precision 0.170 (0.225)	Recall 0.267 (0.300)	mAP 0.677 (0.795)
Epoch: [1][380/478], 	Time 0.095 (0.095)	Data 0.000 (0.002)	Loss 0.1816 (0.2115)	Precision 0.332 (0.226)	Recall 0.453 (0.302)	mAP 0.840 (0.797)
Epoch: [1][400/478], 	Time 0.093 (0.095)	Data 0.000 (0.002)	Loss 0.1898 (0.2107)	Precision 0.283 (0.227)	Recall 0.367 (0.304)	mAP 0.846 (0.799)
Epoch: [1][420/478], 	Time 0.095 (0.095)	Data 0.000 (0.002)	Loss 0.2259 (0.2099)	Precision 0.207 (0.229)	Recall 0.217 (0.306)	mAP 0.864 (0.801)
Epoch: [1][440/478], 	Time 0.093 (0.095)	Data 0.000 (0.001)	Loss 0.2027 (0.2088)	Precision 0.306 (0.231)	Recall 0.333 (0.307)	mAP 0.913 (0.802)
Epoch: [1][460/478], 	Time 0.092 (0.095)	Data 0.000 (0.001)	Loss 0.1924 (0.2084)	Precision 0.107 (0.231)	Recall 0.183 (0.307)	mAP 0.701 (0.802)
Test: [0/167]	Time 0.481 (0.481)	Loss 0.2488 (0.2488)
Test: [20/167]	Time 0.029 (0.062)	Loss 0.2582 (0.2361)
Test: [40/167]	Time 0.028 (0.046)	Loss 0.2164 (0.2493)
Test: [60/167]	Time 0.029 (0.041)	Loss 0.1970 (0.2421)
Test: [80/167]	Time 0.028 (0.038)	Loss 0.1667 (0.2193)
Test: [100/167]	Time 0.029 (0.038)	Loss 0.1996 (0.2120)
Test: [120/167]	Time 0.030 (0.037)	Loss 0.2085 (0.1964)
Test: [140/167]	Time 0.030 (0.037)	Loss 0.3107 (0.1936)
Test: [160/167]	Time 0.028 (0.036)	Loss 0.3447 (0.2005)
Testing Results: Best Threshold 0.10, mAP: 0.5880, Loss: 0.20317
Best mAP: 0.588, Best Threshold: 0.10

Epoch: [2][0/478], 	Time 0.723 (0.723)	Data 0.662 (0.662)	Loss 0.1507 (0.1507)	Precision 0.289 (0.289)	Recall 0.467 (0.467)	mAP 0.688 (0.688)
Epoch: [2][20/478], 	Time 0.095 (0.122)	Data 0.000 (0.032)	Loss 0.2068 (0.1927)	Precision 0.243 (0.264)	Recall 0.278 (0.415)	mAP 0.536 (0.688)
Epoch: [2][40/478], 	Time 0.092 (0.108)	Data 0.000 (0.016)	Loss 0.1797 (0.1948)	Precision 0.139 (0.265)	Recall 0.267 (0.406)	mAP 0.522 (0.679)
Epoch: [2][60/478], 	Time 0.089 (0.103)	Data 0.000 (0.011)	Loss 0.2318 (0.1934)	Precision 0.206 (0.260)	Recall 0.317 (0.405)	mAP 0.737 (0.683)
Epoch: [2][80/478], 	Time 0.093 (0.100)	Data 0.000 (0.008)	Loss 0.1229 (0.1896)	Precision 0.298 (0.252)	Recall 0.467 (0.403)	mAP 0.920 (0.683)
Epoch: [2][100/478], 	Time 0.093 (0.099)	Data 0.000 (0.007)	Loss 0.2405 (0.1859)	Precision 0.308 (0.253)	Recall 0.444 (0.403)	mAP 0.739 (0.691)
